epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1_score
1,0.3464339303275559,0.8496932515337423,0.4141840934753418,0.75,0.75,0.75,0.75
2,0.26485150828500464,0.8935966257668712,1.012406826019287,0.6875,0.6153846153846154,1.0,0.7619047619047619
3,0.23342549725452816,0.906058282208589,1.3941160440444946,0.5,0.5,1.0,0.6666666666666666
4,0.2134854372910744,0.9167944785276073,1.1966133117675781,0.625,0.5714285714285714,1.0,0.7272727272727273
5,0.17998282346257402,0.928489263803681,1.9022269248962402,0.5625,0.5333333333333333,1.0,0.6956521739130435
6,0.17384430889520178,0.9338573619631901,1.0897338390350342,0.75,0.6666666666666666,1.0,0.8
7,0.16138054146517092,0.9384585889570553,0.7829678654670715,0.8125,0.7272727272727273,1.0,0.8421052631578947
8,0.1597530929017469,0.9380751533742331,0.9077168107032776,0.75,0.6666666666666666,1.0,0.8
9,0.1524609744525943,0.9428680981595092,0.7939846515655518,0.75,0.6666666666666666,1.0,0.8
10,0.14208873519045442,0.9459355828220859,0.45665696263313293,0.8125,0.7272727272727273,1.0,0.8421052631578947
11,0.13828704173625248,0.9447852760736196,0.7136719822883606,0.8125,0.7272727272727273,1.0,0.8421052631578947
12,0.14757356559572044,0.9447852760736196,3.496096134185791,0.5,0.5,1.0,0.6666666666666666
13,0.13106238896861397,0.9482361963190185,0.3542896509170532,0.8125,0.7272727272727273,1.0,0.8421052631578947
14,0.13491609504023577,0.9488113496932515,0.7342166304588318,0.75,0.6666666666666666,1.0,0.8
15,0.13567156320083543,0.950920245398773,0.3419376611709595,0.8125,0.7777777777777778,0.875,0.8235294117647058
16,0.13771509672829343,0.9507285276073619,0.36314722895622253,0.875,0.8,1.0,0.8888888888888888
17,0.12393996023510132,0.9551380368098159,0.44479134678840637,0.8125,0.7272727272727273,1.0,0.8421052631578947
18,0.13203755370769765,0.9501533742331288,1.2742215394973755,0.6875,0.6153846153846154,1.0,0.7619047619047619
19,0.12229648365587728,0.9539877300613497,2.028225898742676,0.5625,0.5333333333333333,1.0,0.6956521739130435
20,0.11663603774083356,0.9539877300613497,0.6154540777206421,0.8125,0.7272727272727273,1.0,0.8421052631578947
21,0.12454919146510995,0.9514953987730062,0.3914363980293274,0.875,0.8,1.0,0.8888888888888888
22,0.11676835761822622,0.9583972392638037,3.807654857635498,0.5,0.5,1.0,0.6666666666666666
23,0.11969413853427567,0.9566717791411042,1.1904029846191406,0.625,0.5714285714285714,1.0,0.7272727272727273
24,0.11742302959362057,0.9532208588957055,0.3567730188369751,0.875,0.8,1.0,0.8888888888888888
25,0.11265274313809864,0.9578220858895705,0.4805038273334503,0.875,0.8,1.0,0.8888888888888888
26,0.12166441766190932,0.9528374233128835,0.6016597151756287,0.8125,0.7272727272727273,1.0,0.8421052631578947
27,0.11813856906720374,0.9557131901840491,0.22760657966136932,0.875,0.875,0.875,0.875
28,0.12188045643384289,0.9534125766871165,2.6420791149139404,0.5,0.5,1.0,0.6666666666666666
29,0.10911362488508407,0.9593558282208589,2.6494898796081543,0.5,0.5,1.0,0.6666666666666666
30,0.10207321767358143,0.9622315950920245,3.1941163539886475,0.5,0.5,1.0,0.6666666666666666
