epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1_score
1,0.3070911935593453,0.8623466257668712,0.5677617788314819,0.6875,0.6153846153846154,1.0,0.7619047619047619
2,0.2207323840242222,0.9087423312883436,1.1985971927642822,0.6875,0.6153846153846154,1.0,0.7619047619047619
3,0.18319343713803526,0.9265720858895705,2.505279064178467,0.5,0.5,1.0,0.6666666666666666
4,0.17369725040954315,0.9317484662576687,1.1023502349853516,0.5,0.5,1.0,0.6666666666666666
5,0.1472656412930028,0.9424846625766872,1.201991319656372,0.625,0.5714285714285714,1.0,0.7272727272727273
6,0.14149230392935452,0.9451687116564417,0.735380232334137,0.625,0.5714285714285714,1.0,0.7272727272727273
7,0.1318646986894538,0.9470858895705522,0.5433717966079712,0.75,0.6666666666666666,1.0,0.8
8,0.1339884081261198,0.9470858895705522,1.7648773193359375,0.5,0.5,1.0,0.6666666666666666
9,0.1214941282373813,0.9532208588957055,1.3408777713775635,0.625,0.5714285714285714,1.0,0.7272727272727273
10,0.11693361719236052,0.9591641104294478,0.4787614643573761,0.75,0.7,0.875,0.7777777777777778
11,0.1140940550577604,0.9562883435582822,0.44150906801223755,0.8125,0.7272727272727273,1.0,0.8421052631578947
12,0.12513900409949705,0.9516871165644172,2.3861162662506104,0.5,0.5,1.0,0.6666666666666666
13,0.10721786480191295,0.9574386503067485,1.616562008857727,0.5,0.5,1.0,0.6666666666666666
14,0.11127696592829253,0.9562883435582822,0.8924534320831299,0.625,0.5714285714285714,1.0,0.7272727272727273
15,0.11303805718141283,0.95954754601227,0.3165398836135864,0.875,0.8,1.0,0.8888888888888888
16,0.1118881115404192,0.9572469325153374,0.8617911338806152,0.6875,0.6153846153846154,1.0,0.7619047619047619
17,0.11143100204266196,0.959739263803681,1.09795081615448,0.5625,0.5333333333333333,1.0,0.6956521739130435
18,0.10967450326114345,0.9583972392638037,1.6268095970153809,0.5625,0.5333333333333333,1.0,0.6956521739130435
19,0.09725254611255019,0.9628067484662577,1.838169813156128,0.5,0.5,1.0,0.6666666666666666
20,0.1041927824162541,0.9570552147239264,0.7445008754730225,0.6875,0.6153846153846154,1.0,0.7619047619047619
21,0.10224365810378015,0.9591641104294478,0.31860804557800293,0.8125,0.7272727272727273,1.0,0.8421052631578947
22,0.09746723805491361,0.9626150306748467,2.174330234527588,0.5,0.5,1.0,0.6666666666666666
23,0.09637729312218954,0.9624233128834356,0.500644326210022,0.75,0.6666666666666666,1.0,0.8
24,0.10042051283608368,0.9608895705521472,0.22625117003917694,0.875,0.875,0.875,0.875
25,0.09527231523184324,0.9637653374233128,0.515464186668396,0.6875,0.6153846153846154,1.0,0.7619047619047619
26,0.09882593072630877,0.9637653374233128,1.0397441387176514,0.625,0.5714285714285714,1.0,0.7272727272727273
27,0.09475754880763453,0.9647239263803681,0.2683352530002594,0.9375,1.0,0.875,0.9333333333333333
28,0.10111631788999025,0.9616564417177914,2.2025089263916016,0.5,0.5,1.0,0.6666666666666666
29,0.09185241367325095,0.964340490797546,0.618334174156189,0.6875,0.6153846153846154,1.0,0.7619047619047619
30,0.08904612466887188,0.9672162576687117,1.5605552196502686,0.5625,0.5333333333333333,1.0,0.6956521739130435
