model,accuracy,precision,recall,f1_score
CNN simples,0.8766025641025641,0.9002557544757033,0.9025641025641026,0.9014084507042254
ResNet18 Transfer Learning,0.905448717948718,0.9046454767726161,0.9487179487179487,0.9261576971214017
DenseNet121 Transfer Learning,0.8733974358974359,0.8676122931442081,0.941025641025641,0.9028290282902829
