epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1_score
1,0.2725188681410134,0.8865030674846626,0.285089910030365,0.875,0.8,1.0,0.8888888888888888
2,0.1839954185933789,0.9254217791411042,0.5057228803634644,0.6875,0.6153846153846154,1.0,0.7619047619047619
3,0.1673895629362826,0.9357745398773006,0.425552099943161,0.8125,0.7272727272727273,1.0,0.8421052631578947
4,0.15285892526339168,0.9388420245398773,0.4473809003829956,0.75,0.6666666666666666,1.0,0.8
5,0.14290813445770667,0.9457438650306749,0.3005717098712921,0.8125,0.7272727272727273,1.0,0.8421052631578947
6,0.13664165891112726,0.9457438650306749,0.43473613262176514,0.6875,0.6153846153846154,1.0,0.7619047619047619
7,0.15138330077466788,0.941717791411043,0.6165935397148132,0.6875,0.6153846153846154,1.0,0.7619047619047619
8,0.13982077863958717,0.9476610429447853,0.4763015806674957,0.6875,0.6153846153846154,1.0,0.7619047619047619
9,0.1244560758828934,0.950920245398773,0.3313817083835602,0.875,0.8,1.0,0.8888888888888888
10,0.13420301916911923,0.9461273006134969,0.4185694456100464,0.6875,0.6153846153846154,1.0,0.7619047619047619
