epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1_score
1,0.30532825815897047,0.8644555214723927,0.4265476167201996,0.75,0.8333333333333334,0.625,0.7142857142857143
2,0.22613146690868893,0.9093174846625767,0.9582875370979309,0.625,0.5833333333333334,0.875,0.7
3,0.18995666053671778,0.9236963190184049,2.4438705444335938,0.5,0.5,1.0,0.6666666666666666
4,0.17640451103037486,0.9298312883435583,0.6853232383728027,0.6875,0.6153846153846154,1.0,0.7619047619047619
5,0.14780277861682184,0.9438266871165644,1.209509015083313,0.5625,0.5333333333333333,1.0,0.6956521739130435
6,0.13994202450877685,0.9459355828220859,0.4357919692993164,0.8125,0.7272727272727273,1.0,0.8421052631578947
7,0.13215741688854124,0.9459355828220859,0.30932512879371643,0.8125,0.7777777777777778,0.875,0.8235294117647058
8,0.1339096509525838,0.9455521472392638,2.156686544418335,0.5625,0.5333333333333333,1.0,0.6956521739130435
9,0.1269984275811106,0.9499616564417178,1.8003922700881958,0.5,0.5,1.0,0.6666666666666666
10,0.11512160536610276,0.9560966257668712,0.4955330491065979,0.75,0.7,0.875,0.7777777777777778
11,0.11574522180745572,0.9562883435582822,0.45488211512565613,0.8125,0.7272727272727273,1.0,0.8421052631578947
12,0.12250357159510529,0.9534125766871165,2.6733109951019287,0.5,0.5,1.0,0.6666666666666666
13,0.10866986679061791,0.9568634969325154,0.3563736081123352,0.875,0.8,1.0,0.8888888888888888
14,0.11369251865505076,0.9560966257668712,1.3665342330932617,0.5625,0.5333333333333333,1.0,0.6956521739130435
15,0.1122177852706218,0.9583972392638037,0.7433851957321167,0.6875,0.6153846153846154,1.0,0.7619047619047619
